term	meaning	reading
割引対象外	할인 대상 외	わりびきたいしょうがい
お買い得	알뜰한 가격, 특가	おかいどく
数量限定	수량 한정	すうりょうげんてい
期間限定	기간 한정	きかんげんてい
地域限定	지역 한정	ちいきげんてい
季節限定	계절 한정	きせつげんてい
完売	완판, 매진	かんばい
入荷未定	입고 미정	にゅうかみてい
予約受付中	예약 접수 중	よやくうけつけちゅう
整理券	정리권, 번호표	せいりけん
引換券	교환권	ひきかえけん
当日券	당일권	とうじつけん
前売券	예매권	まえうりけん
優先席	우선석	ゆうせんせき
女性専用車	여성 전용칸	じょせいせんようしゃ
弱冷房車	약냉방칸	じゃくれいぼうしゃ
乗車位置	승차 위치	じょうしゃいち
乗車口	승차구	じょうしゃぐち
降車口	하차구	こうしゃぐち
発車時刻	출발 시각	はっしゃじこく
到着時刻	도착 시각	とうちゃくじこく
始発	첫차	しはつ
途中駅	중간역	とちゅうえき
特別快速	특별 쾌속	とくべつかいそく
通勤快速	통근 쾌속	つうきんかいそく
区間快速	구간 쾌속	くかんかいそく
準急	준급행	じゅんきゅう
見合わせ	운행 보류	みあわせ
運転見合わせ	운행 중단, 보류	うんてんみあわせ
折返し運転	회차 운행	おりかえしうんてん
振替輸送	대체 수송	ふりかえゆそう
代行バス	대행 버스	だいこうバス
徐行運転	서행 운전	じょこううんてん
人身事故	인명 사고	じんしんじこ
線路内立入	선로 내 출입	せんろないたちいり
信号確認	신호 확인	しんごうかくにん
車両点検	차량 점검	しゃりょうてんけん
安全確認	안전 확인	あんぜんかくにん
ホームドア	승강장 안전문	ホームドア
足元注意	발밑 주의	あしもとちゅうい
駆け込み乗車	무리한 막판 승차	かけこみじょうしゃ
車内精算	차내 정산	しゃないせいさん
乗り越し精算	구간 초과 정산	のりこしせいさん
途中下車	도중 하차	とちゅうげしゃ
途中下車前途無効	도중 하차 시 남은 구간 무효	とちゅうげしゃぜんとむこう
途中下車不可	도중 하차 불가	とちゅうげしゃふか
回送	회송, 승객 미탑승	かいそう
団体専用	단체 전용	だんたいせんよう
臨時列車	임시 열차	りんじれっしゃ
増結	객차 증결	ぞうけつ
切り離し	객차 분리	きりはなし
前寄り	앞쪽	まえより
後ろ寄り	뒤쪽	うしろより
進行方向	진행 방향	しんこうほうこう
右側通行	우측 통행	みぎがわつうこう
左側通行	좌측 통행	ひだりがわつうこう
手荷物預かり	수하물 보관	てにもつあずかり
コインロッカー	코인 로커	コインロッカー
空きロッカー	빈 로커	あきロッカー
使用中	사용 중	しようちゅう
使用禁止	사용 금지	しようきんし
故障中	고장 중	こしょうちゅう
点検中	점검 중	てんけんちゅう
清掃中	청소 중	せいそうちゅう
非常口	비상구	ひじょうぐち
非常停止ボタン	비상 정지 버튼	ひじょうていしボタン
非常電話	비상 전화	ひじょうでんわ
避難経路	피난 경로	ひなんけいろ
避難場所	대피 장소	ひなんばしょ
避難所	대피소	ひなんじょ
消火器	소화기	しょうかき
火気厳禁	화기 엄금	かきげんきん
喫煙所	흡연소	きつえんじょ
分煙	분연, 흡연구역 분리	ぶんえん
宿泊者専用	투숙객 전용	しゅくはくしゃせんよう
宿泊者以外立入禁止	투숙객 외 출입 금지	しゅくはくしゃいがいたちいりきんし
宿泊受付	숙박 접수	しゅくはくうけつけ
当日予約	당일 예약	とうじつよやく
空室あり	빈 객실 있음	くうしつあり
空室なし	빈 객실 없음	くうしつなし
満室	만실	まんしつ
素泊まり	식사 없는 숙박	すどまり
夕食付き	석식 포함	ゆうしょくつき
二食付き	조석식 포함	にしょくつき
連泊	연박	れんぱく
延泊	숙박 연장	えんぱく
前泊	전날 숙박	ぜんぱく
後泊	일정 뒤 추가 숙박	こうはく
チェックイン前	체크인 전	チェックインまえ
チェックアウト後	체크아웃 후	チェックアウトご
最終入館	최종 입관 시간	さいしゅうにゅうかん
大浴場	대욕장	だいよくじょう
露天風呂	노천탕	ろてんぶろ
内湯	실내 온천탕	うちゆ
貸切風呂	전세탕	かしきりぶろ
家族風呂	가족탕	かぞくぶろ
客室露天風呂	객실 노천탕	きゃくしつろてんぶろ
天然温泉	천연 온천	てんねんおんせん
源泉掛け流し	원천수를 계속 흘려보내는 온천	げんせんかけながし
加水	물을 섞음	かすい
加温	가열함	かおん
循環ろ過	순환 여과	じゅんかんろか
泉質	온천 수질 종류	せんしつ
効能	효능	こうのう
入湯税	입욕세	にゅうとうぜい
入浴時間	입욕 가능 시간	にゅうよくじかん
日帰り入浴	당일 온천 이용	ひがえりにゅうよく
湯上がり処	목욕 후 휴게 공간	ゆあがりどころ
脱衣所	탈의실	だついじょ
洗い場	씻는 공간	あらいば
かけ湯	입욕 전 몸에 끼얹는 물	かけゆ
水風呂	냉탕	みずぶろ
寝湯	누워서 들어가는 탕	ねゆ
壺湯	항아리탕	つぼゆ
炭酸泉	탄산천	たんさんせん
薬湯	약탕	くすりゆ
電気風呂	전기탕	でんきぶろ
岩盤浴	암반욕	がんばんよく
高温サウナ	고온 사우나	こうおんサウナ
低温サウナ	저온 사우나	ていおんサウナ
整い処	사우나 후 휴식 공간	ととのいどころ
黙浴	조용히 입욕하기	もくよく
洗髪禁止	머리 감기 금지	せんぱつきんし
遊泳禁止	수영 금지	ゆうえいきんし
飛び込み禁止	다이빙 금지	とびこみきんし
刺青お断り	문신 입장 불가	いれずみおことわり
撮影禁止	촬영 금지	さつえいきんし
土足厳禁	신발 착용 엄금	どそくげんきん
履物を脱ぐ	신발을 벗다	はきものをぬぐ
靴箱	신발장	くつばこ
下足箱	신발장	げそくばこ
下足札	신발장 번호표	げそくふだ
館内着	시설 내 옷	かんないぎ
浴衣貸出	유카타 대여	ゆかたかしだし
タオル貸出	수건 대여	タオルかしだし
アメニティ	어메니티	アメニティ
備品	비품	びひん
客室備品	객실 비품	きゃくしつびひん
冷蔵庫内有料	냉장고 안 유료	れいぞうこないゆうりょう
製氷機	제빙기	せいひょうき
自動販売機コーナー	자판기 코너	じどうはんばいきコーナー
朝食会場	조식 장소	ちょうしょくかいじょう
夕食会場	석식 장소	ゆうしょくかいじょう
宴会場	연회장	えんかいじょう
食事処	식사 공간	しょくじどころ
部屋食	객실 식사	へやしょく
個室食	개별실 식사	こしつしょく
お品書き	메뉴 구성표, 코스 안내	おしながき
本日のおすすめ	오늘의 추천	ほんじつのおすすめ
本日の鮮魚	오늘의 생선	ほんじつのせんぎょ
本日の一品	오늘의 한 접시	ほんじつのいっぴん
季節のおすすめ	계절 추천 메뉴	きせつのおすすめ
数量限定品	수량 한정 메뉴	すうりょうげんていひん
売り切れ御免	품절 양해, 팔리면 끝	うりきれごめん
名物料理	명물 요리	めいぶつりょうり
郷土料理	향토 요리	きょうどりょうり
ご当地グルメ	지역 먹거리	ごとうちグルメ
名産品	명산품	めいさんひん
特産品	특산품	とくさんひん
旬	제철	しゅん
旬物	제철 음식	しゅんもの
地物	현지산 식재료	じもの
地魚	현지에서 잡은 생선	じざかな
近海物	근해산	きんかいもの
天然物	자연산	てんねんもの
養殖物	양식산	ようしょくもの
朝獲れ	아침에 잡은 것	あさどれ
産地直送	산지 직송	さんちちょくそう
市場直送	시장 직송	いちばちょくそう
活魚	활어	かつぎょ
鮮魚	선어, 신선한 생선	せんぎょ
刺身用	회용	さしみよう
加熱用	가열용	かねつよう
生食用	생식용	せいしょくよう
要加熱	가열 필요	ようかねつ
要冷蔵	냉장 필요	ようれいぞう
要冷凍	냉동 필요	ようれいとう
解凍品	해동 제품	かいとうひん
店内飲食	매장 내 취식	てんないいんしょく
持ち帰り可	포장 가능	もちかえりか
持ち帰り不可	포장 불가	もちかえりふか
お通し	기본 안주	おとおし
突き出し	기본 안주	つきだし
席料	자리 요금	せきりょう
サービス料	서비스 요금	サービスりょう
チャージ料	자리 차지 요금	チャージりょう
ワンドリンク制	1인 1음료 필수제	ワンドリンクせい
二品制	1인 2품 주문제	にひんせい
注文制	주문제	ちゅうもんせい
飲み放題	음료 또는 술 무한리필	のみほうだい
時間制	시간제	じかんせい
制限時間	제한 시간	せいげんじかん
ラストオーダー	마지막 주문	ラストオーダー
閉店時間	폐점 시간	へいてんじかん
立ち飲み	서서 마시는 술집	たちのみ
立ち食い	서서 먹는 음식점	たちぐい
カウンター席	카운터석	カウンターせき
テーブル席	테이블석	テーブルせき
座敷席	다다미 좌석	ざしきせき
掘りごたつ	바닥이 파인 좌식 테이블	ほりごたつ
個室あり	개별실 있음	こしつあり
半個室	반개별실	はんこしつ
禁煙席	금연석	きんえんせき
喫煙席	흡연석	きつえんせき
卓上	테이블 위	たくじょう
卓上調味料	테이블 비치 조미료	たくじょうちょうみりょう
取り皿	앞접시	とりざら
小皿	작은 접시	こざら
薬味	곁들임 향신 채소, 고명	やくみ
別添え	따로 곁들여 제공	べつぞえ
大盛り無料	곱빼기 무료	おおもりむりょう
ご飯大盛り	밥 곱빼기	ごはんおおもり
麺大盛り	면 곱빼기	めんおおもり
替え玉	면 추가	かえだま
追い飯	남은 국물 등에 추가하는 밥	おいめし
追い麺	남은 국물 등에 추가하는 면	おいめん
おかわり自由	리필 자유	おかわりじゆう
ご飯おかわり無料	밥 리필 무료	ごはんおかわりむりょう
味変	먹는 도중 양념 등으로 맛을 바꿈	あじへん
卓上コンロ	테이블 버너	たくじょうコンロ
火傷注意	화상 주의	やけどちゅうい
生ものですのでお早めに	생물이므로 빨리 드세요	なまものですのでおはやめに
先付	코스 첫 전채	さきづけ
先附	코스 첫 전채의 다른 표기	さきづけ
前菜盛り合わせ	전채 모둠	ぜんさいもりあわせ
八寸	계절 산해진미를 담은 전채 모둠	はっすん
向付	회, 사시미 요리	むこうづけ
向附	회의 다른 표기	むこうづけ
造里	사시미의 메뉴판식 표기	つくり
お造り	사시미, 회	おつくり
椀物	국물 요리	わんもの
煮物椀	건더기가 중심인 맑은 국물 요리	にものわん
吸物	맑은 국	すいもの
お吸い物	맑은 국	おすいもの
凌ぎ	코스 중간의 소량 초밥이나 면	しのぎ
鉢肴	회석 코스의 구이 요리	はちざかな
焼肴	구운 생선이나 고기 요리	やきざかな
合肴	코스 중간에 더하는 요리	あいざかな
強肴	코스에 추가로 권하는 한 접시	しいざかな
進肴	강효와 비슷한 추가 요리	すすめざかな
留肴	코스 후반의 마무리 안주	とめざかな
止肴	코스 후반의 마무리 안주	とめざかな
預け鉢	여럿이 덜어 먹는 큰 그릇 요리	あずけばち
台の物	화로 또는 받침에 올려 내는 요리	だいのもの
炊合せ	여러 재료를 따로 익혀 함께 담은 조림	たきあわせ
焚合せ	炊合せ의 다른 표기	たきあわせ
鉢物	그릇에 담아 내는 조림류	はちもの
油物	튀김류	あぶらもの
揚物	튀김 요리	あげもの
蒸物	찜 요리	むしもの
温物	따뜻한 찜이나 조림	おんぶつ
酢の物	초무침, 식초 요리	すのもの
和え物	무침 요리	あえもの
止め椀	코스 마지막에 밥과 내는 국	とめわん
留椀	止め椀의 다른 표기	とめわん
香の物	절임 반찬	こうのもの
水菓子	코스 마지막 과일이나 디저트	みずがし
水物	과일이나 디저트	みずもの
甘味	단 디저트	かんみ
口取り	작은 전채 또는 단맛 나는 곁들임	くちとり
箸休め	입가심용 작은 요리	はしやすめ
一汁三菜	국 하나와 반찬 세 가지 구성	いちじゅうさんさい
懐石料理	차와 함께 즐기는 전통 코스요리	かいせきりょうり
会席料理	술과 함께 즐기는 일본식 코스요리	かいせきりょうり
おまかせ	셰프 추천 구성	おまかせ
盛り合わせ	모둠	もりあわせ
三種盛り	3종 모둠	さんしゅもり
五種盛り	5종 모둠	ごしゅもり
舟盛り	배 모양 그릇에 담은 회 모둠	ふなもり
姿造り	생선 모양을 살려 담은 통회	すがたづくり
薄造り	얇게 썬 회	うすづくり
厚切り	두껍게 썬 것	あつぎり
ぶつ切り	큼직하게 토막 썬 것	ぶつぎり
細切り	가늘게 썬 것	ほそぎり
千切り	채 썰기	せんぎり
角切り	깍둑썰기	かくぎり
乱切り	불규칙한 큼직한 썰기	らんぎり
輪切り	둥글게 썰기	わぎり
半月切り	반달썰기	はんげつぎり
拍子木切り	막대 모양 썰기	ひょうしぎぎり
隠し包丁	익힘이나 식감을 위해 넣는 칼집	かくしぼうちょう
湯引き	끓는 물을 살짝 끼얹거나 데침	ゆびき
霜降り	표면만 뜨거운 물로 익혀 흰빛 내기	しもふり
皮霜造り	껍질에 뜨거운 물을 끼얹은 회	かわしもづくり
焼き霜造り	표면을 불로 살짝 그을린 회	やきしもづくり
炙り	불로 표면을 살짝 그을림	あぶり
直火焼き	직화구이	じかびやき
炭火焼き	숯불구이	すみびやき
網焼き	석쇠구이	あみやき
鉄板焼き	철판구이	てっぱんやき
陶板焼き	도판구이	とうばんやき
石焼き	돌구이	いしやき
浜焼き	해산물을 껍질째 굽는 해변식 구이	はまやき
串焼き	꼬치구이	くしやき
素焼き	양념 없이 굽기	すやき
塩焼き	소금구이	しおやき
照り焼き	데리야키, 단짠 양념구이	てりやき
蒲焼き	장어 등에 단짠 소스를 발라 굽는 조리	かばやき
白焼き	양념 없이 굽는 장어 등의 구이	しらやき
西京焼き	서경된장에 재워 굽는 요리	さいきょうやき
西京漬け	서경된장에 재운 것	さいきょうづけ
幽庵焼き	간장·술·미림·감귤에 재워 굽는 요리	ゆうあんやき
柚庵焼き	幽庵焼き의 다른 표기	ゆうあんやき
味噌漬け焼き	된장에 재웠다가 굽는 요리	みそづけやき
粕漬け焼き	술지게미에 재웠다가 굽는 요리	かすづけやき
麹漬け	누룩에 재운 것	こうじづけ
塩麹漬け	소금 누룩에 재운 것	しおこうじづけ
一夜干し	하룻밤 말린 생선	いちやぼし
干物	말린 생선	ひもの
丸干し	통째로 말린 것	まるぼし
開き	배를 갈라 펼쳐 말리거나 구운 생선	ひらき
煮付け	간장 양념 조림	につけ
煮込み	푹 끓여 익힌 요리	にこみ
煮浸し	익힌 재료를 양념 국물에 담가 맛들인 요리	にびたし
揚げ浸し	튀긴 재료를 양념 국물에 담근 요리	あげびたし
含め煮	국물을 충분히 배게 천천히 조린 요리	ふくめに
旨煮	달고 진하게 조린 요리	うまに
甘露煮	달고 윤기 나게 푹 조린 요리	かんろに
時雨煮	생강을 넣고 간장으로 진하게 조린 요리	しぐれに
治部煮	전분 묻힌 고기나 생선을 채소와 조린 가나자와 요리	じぶに
土手煮	된장으로 내장 등을 푹 조린 요리	どてに
おろし煮	갈은 무를 넣은 조림	おろしに
みぞれ煮	갈은 무가 눈발처럼 보이는 조림	みぞれに
兜煮	생선 머리를 조린 요리	かぶとに
あら煮	생선 뼈와 머리 주변을 조린 요리	あらに
骨蒸し	생선 뼈 붙은 부위를 술찜한 요리	ほねむし
酒蒸し	술찜	さかむし
蒸し焼き	찜구이	むしやき
せいろ蒸し	찜통 찜	せいろむし
茶碗蒸し	계란찜	ちゃわんむし
土瓶蒸し	도빈 주전자에 담아 찐 맑은 국 요리	どびんむし
包み焼き	재료를 싸서 굽는 요리	つつみやき
ホイル焼き	포일구이	ホイルやき
唐揚げ	가라아게, 양념한 재료를 튀긴 요리	からあげ
竜田揚げ	간장 양념 후 전분을 묻혀 튀긴 요리	たつたあげ
素揚げ	튀김옷 없이 그대로 튀김	すあげ
磯辺揚げ	김이나 파래를 넣은 튀김	いそべあげ
かき揚げ	잘게 썬 여러 재료를 뭉쳐 튀긴 것	かきあげ
揚げ出し	튀긴 재료에 따뜻한 국물을 부은 요리	あげだし
揚げ出し豆腐	튀긴 두부에 국물을 부은 요리	あげだしどうふ
南蛮漬け	튀긴 생선 등을 새콤달콤한 식초 양념에 절인 것	なんばんづけ
酢漬け	식초 절임	すづけ
酢締め	생선을 식초로 절여 마무리함	すじめ
昆布締め	다시마 사이에 재료를 넣어 숙성함	こぶじめ
昆布〆	昆布締め의 메뉴판 표기	こぶじめ
漬け	간장 등 양념에 재움	づけ
味噌和え	된장 무침	みそあえ
酢味噌和え	초된장 무침	すみそあえ
白和え	두부와 참깨 등으로 무친 요리	しらあえ
胡麻和え	참깨 무침	ごまあえ
辛子和え	겨자 무침	からしあえ
梅肉和え	매실 과육 무침	ばいにくあえ
ぬた	파나 해산물을 초된장에 무친 요리	ぬた
なます	채소나 생선을 식초로 무친 요리	なます
おろし和え	갈은 무로 무친 요리	おろしあえ
たたき	겉을 살짝 익히거나 재료를 두드려 만든 요리	たたき
なめろう	생선살을 된장·파 등과 다져 만든 요리	なめろう
さんが焼き	나메로를 구운 지바 향토요리	さんがやき
つみれ	다진 생선살 완자	つみれ
つくね	다진 고기나 생선 완자	つくね
練り物	생선살 등을 갈아 만든 가공식품	ねりもの
すり身	갈아 으깬 생선살	すりみ
蒲鉾	어묵류 가마보코	かまぼこ
竹輪	치쿠와 어묵	ちくわ
薩摩揚げ	사쓰마아게 어묵튀김	さつまあげ
はんぺん	부드러운 흰 어묵	はんぺん
ちぎり揚げ	어묵 반죽을 떼어 튀긴 것	ちぎりあげ
酒肴	술안주	しゅこう
酒盗	가다랑어 내장을 소금에 절인 진미	しゅとう
塩辛	해산물 내장 젓갈	しおから
烏賊の塩辛	오징어 젓갈	いかのしおから
このわた	해삼 내장 젓갈	このわた
くちこ	해삼 난소를 말린 진미	くちこ
からすみ	숭어 알을 소금에 절여 말린 진미	からすみ
へしこ	고등어 등을 소금과 쌀겨에 절인 발효식품	へしこ
鯖へしこ	고등어 헤시코	さばへしこ
鮒寿司	붕어를 발효시킨 시가 향토 초밥	ふなずし
飯寿司	생선과 쌀·누룩을 발효한 북일본 음식	いずし
いぶりがっこ	훈연한 무 절임	いぶりがっこ
鮪	참치	まぐろ
本鮪	참다랑어	ほんまぐろ
黒鮪	참다랑어의 다른 이름	くろまぐろ
南鮪	남방참다랑어	みなみまぐろ
目鉢鮪	눈다랑어	めばちまぐろ
黄肌鮪	황다랑어	きはだまぐろ
鬢長鮪	날개다랑어	びんながまぐろ
鮪赤身	참치 붉은살	まぐろあかみ
中トロ	중뱃살 참치	ちゅうトロ
大トロ	대뱃살 참치	おおトロ
中落ち	참치 뼈 주변을 긁어낸 살	なかおち
ねぎとろ	다진 참치살과 파	ねぎとろ
頬肉	볼살	ほほにく
脳天	참치 머리 윗부분의 희귀 부위	のうてん
カマ	생선 아가미 뒤쪽 목살 부위	カマ
カマトロ	참치 목 부위의 지방 많은 살	カマトロ
尾の身	참치 꼬리 쪽 살	おのみ
鰤	방어	ぶり
寒鰤	겨울철 방어	かんぶり
鰤トロ	방어 뱃살	ぶりトロ
魬	어린 방어, 하마치	はまち
若魚	어린 물고기	わかうお
勘八	잿방어	かんぱち
平政	부시리	ひらまさ
鯵	전갱이	あじ
真鯵	참전갱이	まあじ
縞鯵	줄무늬전갱이	しまあじ
鯖	고등어	さば
真鯖	참고등어	まさば
胡麻鯖	망치고등어	ごまさば
〆鯖	초절임 고등어	しめさば
鰯	정어리	いわし
真鰯	정어리	まいわし
片口鰯	멸치류, 일본멸치	かたくちいわし
潤目鰯	눈큰정어리	うるめいわし
鰹	가다랑어	かつお
初鰹	초여름 첫 가다랑어	はつがつお
戻り鰹	가을에 돌아오는 기름진 가다랑어	もどりがつお
鰹のたたき	겉만 그을린 가다랑어	かつおのたたき
鯛	도미류	たい
真鯛	참돔	まだい
金目鯛	금눈돔	きんめだい
甘鯛	옥돔류	あまだい
赤甘鯛	붉은 옥돔	あかあまだい
黄甘鯛	노랑 옥돔	きあまだい
白甘鯛	흰 옥돔	しろあまだい
黒鯛	감성돔	くろだい
石鯛	돌돔	いしだい
石垣鯛	강담돔	いしがきだい
連子鯛	황돔류	れんこだい
血鯛	황돔류, 치다이	ちだい
糸縒鯛	실꼬리돔류	いとよりだい
鱸	농어	すずき
平目	넙치, 광어	ひらめ
鰈	가자미	かれい
真鰈	참가자미류	まがれい
笹鰈	서대류	ささがれい
柳鰈	가자미류, 야나기무시가레이	やなぎがれい
赤鰈	붉은가자미	あかがれい
鰆	삼치	さわら
鱚	보리멸	きす
鱧	갯장어	はも
穴子	붕장어	あなご
鰻	민물장어	うなぎ
白魚	뱅어류	しらうお
素魚	실치류, 시로우오	しろうお
公魚	빙어	わかさぎ
鮎	은어	あゆ
岩魚	곤들매기류	いわな
山女魚	산천어류	やまめ
虹鱒	무지개송어	にじます
鮭	연어	さけ
秋鮭	가을 연어	あきざけ
時鮭	제철 전 이른 시기의 연어	ときしらず
時不知	時鮭의 표기	ときしらず
銀鮭	은연어	ぎんざけ
紅鮭	홍연어	べにざけ
桜鱒	벚꽃송어, 사쿠라마스	さくらます
鱒	송어류	ます
鱈	대구	たら
真鱈	대구	まだら
助宗鱈	명태류	すけそうだら
介党鱈	助宗鱈의 표기	すけそうだら
白子	생선 이리, 주로 대구 정소	しらこ
真子	생선 알집, 암컷의 알	まこ
鱈子	명란	たらこ
明太子	명란젓	めんたいこ
鰊	청어	にしん
数の子	청어알	かずのこ
子持ち昆布	청어알이 붙은 다시마	こもちこんぶ
秋刀魚	꽁치	さんま
飛魚	날치	とびうお
飛び魚	날치	とびうお
鯔	숭어	ぼら
鯒	양태류	こち
真鯒	양태	まごち
魴鮄	성대	ほうぼう
喉黒	눈볼대	のどぐろ
赤鯥	눈볼대의 표준명	あかむつ
黒鯥	검은 눈볼대류	くろむつ
鯥	무츠류 심해어	むつ
金華鯖	미야기 브랜드 고등어	きんかさば
関鯖	오이타 브랜드 고등어	せきさば
関鯵	오이타 브랜드 전갱이	せきあじ
鰤大根	방어와 무 조림	ぶりだいこん
銀鱈	은대구	ぎんだら
銀鱈西京焼き	은대구 서경된장구이	ぎんだらさいきょうやき
鰻重	장어덮밥 도시락식 구성	うなじゅう
鰻丼	장어덮밥	うなどん
ひつまぶし	잘게 썬 장어덮밥을 여러 방식으로 먹는 나고야 요리	ひつまぶし
肝吸い	장어 간을 넣은 맑은 국	きもすい
肝焼き	장어 간 꼬치구이	きもやき
骨せんべい	생선 뼈를 바삭하게 튀긴 것	ほねせんべい
鯨	고래고기	くじら
鯨ベーコン	고래 베이컨	くじらベーコン
鯨竜田揚げ	고래고기 다쓰타아게	くじらたつたあげ
馬面剥	쥐치류	うまづらはぎ
皮剥	쥐치	かわはぎ
肝和え	간을 으깨 섞은 무침	きもあえ
鮟鱇	아귀	あんこう
鮟肝	아귀간	あんきも
鮟鱇鍋	아귀전골	あんこうなべ
どぶ汁	아귀 간을 풀어 끓이는 이바라키 향토전골	どぶじる
河豚	복어	ふぐ
虎河豚	자주복	とらふぐ
河豚刺し	복어회	ふぐさし
てっさ	복어회의 별칭	てっさ
てっちり	복어전골	てっちり
河豚皮	복어 껍질	ふぐかわ
河豚皮ポン酢	복어껍질 폰즈무침	ふぐかわポンず
白子焼き	이리 구이	しらこやき
白子ポン酢	이리 폰즈	しらこポンず
鮫	상어	さめ
鮫の酢味噌和え	상어 초된장무침	さめのすみそあえ
鮫軟骨	상어 연골	さめなんこつ
梅水晶	상어 연골을 매실과 무친 진미	うめすいしょう
マンボウ	개복치	マンボウ
マンボウの腸	개복치 창자	マンボウのちょう
太刀魚	갈치	たちうお
鱵	학공치	さより
細魚	학공치의 표기	さより
鱒の介	왕연어	ますのすけ
石持	보구치류	いしもち
目光	메히카리, 청색꼬리도마뱀고기류	めひかり
吉次	반딧불게르치류 고급어	きちじ
喜知次	吉次의 표기	きちじ
きんき	吉次의 홋카이도권 명칭	きんき
八角	도치류 생선, 핫카쿠	はっかく
八角軍艦焼き	핫카쿠를 된장과 함께 구운 요리	はっかくぐんかんやき
柳葉魚	시샤모	ししゃも
本柳葉魚	진짜 시샤모	ほんししゃも
樺太柳葉魚	열빙어, 카펠린	からふとししゃも
氷下魚	코마이, 대구과 생선	こまい
鰰	도루묵	はたはた
鰰寿司	도루묵 발효초밥	はたはたずし
鱒子	송어알	ますこ
筋子	연어알을 난소막째 절인 것	すじこ
とびこ	날치알	とびこ
海胆	성게알	うに
雲丹	성게알의 고급 메뉴 표기	うに
生雲丹	생성게알	なまうに
塩水雲丹	소금물에 담아 유통한 성게알	えんすいうに
箱雲丹	상자에 가지런히 담은 성게알	はこうに
馬糞雲丹	말똥성게	ばふんうに
紫雲丹	보라성게	むらさきうに
烏賊	오징어	いか
槍烏賊	창오징어	やりいか
剣先烏賊	한치류, 켄사키이카	けんさきいか
障泥烏賊	흰오징어류, 아오리이카	あおりいか
赤烏賊	붉은오징어류	あかいか
蛍烏賊	꼴뚜기류, 반딧불오징어	ほたるいか
烏賊素麺	오징어를 가늘게 썬 회	いかそうめん
沖漬け	오징어 등을 잡은 즉시 간장 양념에 절인 것	おきづけ
蛸	문어	たこ
真蛸	참문어	まだこ
水蛸	대왕문어류	みずだこ
飯蛸	주꾸미류	いいだこ
蛸ぶつ	문어 큼직썰기	たこぶつ
蛸わさ	문어와 와사비 절임	たこわさ
海老	새우	えび
甘海老	단새우	あまえび
牡丹海老	보탄새우	ぼたんえび
車海老	보리새우	くるまえび
伊勢海老	닭새우, 이세에비	いせえび
赤海老	붉은새우	あかえび
白海老	흰새우	しろえび
桜海老	벚꽃새우	さくらえび
芝海老	중하류 새우	しばえび
鬼海老	홋카이도권 희귀 새우	おにえび
蟹	게	かに
毛蟹	털게	けがに
ずわい蟹	대게	ずわいがに
本ずわい蟹	대게	ほんずわいがに
紅ずわい蟹	홍게	べにずわいがに
たらば蟹	왕게	たらばがに
花咲蟹	하나사키게	はなさきがに
松葉蟹	산인 지방의 수컷 대게	まつばがに
越前蟹	후쿠이의 수컷 대게	えちぜんがに
香箱蟹	호쿠리쿠의 암컷 대게	こうばこがに
勢子蟹	산인 지방의 암컷 대게	せこがに
蟹味噌	게 내장	かにみそ
甲羅焼き	게딱지 등에 재료를 담아 구운 요리	こうらやき
蟹爪	게 집게살	かにつめ
貝類	패류	かいるい
鮑	전복	あわび
床伏	작은 전복류, 도코부시	とこぶし
栄螺	소라	さざえ
つぶ貝	골뱅이류	つぶがい
