term	meaning	reading
全然大丈夫	전혀 문제없다, 완전 괜찮다	ぜんぜんだいじょうぶ
普通に	그냥, 솔직히 말해 꽤, 평범하게	ふつうに
普通にあり	그냥 충분히 괜찮다	ふつうにあり
地味に	은근히, 소소하게	じみに
地味にうれしい	은근 기쁘다	じみにうれしい
何気に	은근히, 의외로	なにげに
なにげに	은근히, 의외로	なにげに
わりかし	비교적, 제법	わりかし
ぼちぼち	그럭저럭, 슬슬	ぼちぼち
言うほど	말할 정도로, 그렇게까지	いうほど
そこまででもない	그 정도까지는 아니다	そこまででもない
秒で	순식간에, 바로	びょうで
サクッと	가볍고 빠르게, 후딱	さくっと
ちゃちゃっと	후딱, 재빨리	ちゃちゃっと
パパッと	재빨리, 후딱	ぱぱっと
ササッと	재빨리, 얼른	ささっと
がっつり	제대로, 든든하게, 확실히	がっつり
ちょい	조금, 살짝	ちょい
ちょいちょい	종종, 조금씩 자주	ちょいちょい
ちょい待ち	잠깐만	ちょいまち
ちょい足し	조금 더 보태기	ちょいたし
ワンチャン	어쩌면 가능성이 있음	わんちゃん
ノーチャン	가능성이 전혀 없음	のーちゃん
無理ゲー	현실적으로 너무 어려운 상황	むりげー
ヌルゲー	너무 쉬운 게임이나 상황	ぬるげー
クソゲー	형편없는 게임	くそげー
良ゲー	잘 만든 괜찮은 게임	りょうげー
積みゲー	사 놓고 하지 않은 게임	つみげー
詰む	막다른 상황이 되다, 답이 없어지다	つむ
詰んだ	망했다, 답이 없어졌다	つんだ
初見	처음 봄, 첫 플레이	しょけん
初見殺し	처음 보면 당하기 쉬운 함정이나 패턴	しょけんごろし
ガチ勢	진심으로 깊게 파는 사람들	がちぜい
エンジョイ勢	실력보다 즐기는 걸 중시하는 사람들	えんじょいぜい
エアプ	직접 해보지 않고 아는 척하는 사람	えあぷ
古参	오래전부터 있던 팬이나 유저	こさん
新規	새로 들어온 팬이나 유저	しんき
課金	게임이나 서비스에 돈을 씀	かきん
無課金	돈을 쓰지 않고 이용함	むかきん
微課金	소액만 결제함	びかきん
廃課金	아주 많은 돈을 결제함	はいかきん
ガチャ	확률형 뽑기	がちゃ
神引き	뽑기에서 엄청 좋은 결과가 나옴	かみびき
爆死	뽑기 등에서 크게 실패함	ばくし
リセマラ	좋은 시작 결과가 나올 때까지 초기화를 반복함	りせまら
周回する	같은 스테이지나 콘텐츠를 반복해서 돌다	しゅうかいする
スクショ	스크린샷	すくしょ
スクショする	스크린샷을 찍다	すくしょする
ググる	구글 등으로 검색하다	ぐぐる
バズる	온라인에서 크게 화제가 되다	ばずる
バズった	온라인에서 크게 화제가 됐다	ばずった
炎上する	온라인에서 비난이 몰리다	えんじょうする
垢	온라인 계정	あか
本垢	주로 쓰는 본계정	ほんあか
サブ垢	보조 계정, 부계정	さぶあか
裏垢	공개하지 않는 별도 계정	うらあか
鍵垢	비공개 계정	かぎあか
捨て垢	일회성으로 만든 계정	すてあか
DM	다이렉트 메시지	でぃーえむ
TL	타임라인	たいむらいん
リプ	댓글형 답글, 멘션 답글	りぷ
リプ返	답글에 다시 답하기	りぷへん
フォロバ	맞팔, 팔로우백	ふぉろば
ブロ解	차단 후 해제로 팔로우 관계를 끊음	ぶろかい
既読スルー	읽고 답하지 않음	きどくするー
未読スルー	읽지 않은 채 답하지 않음	みどくするー
既読無視	읽고 답하지 않음	きどくむし
誤爆	잘못된 채팅방이나 상대에게 보내버림	ごばく
連投	메시지나 게시물을 연달아 올림	れんとう
晒す	온라인에 공개해 망신 주거나 퍼뜨리다	さらす
身バレ	온라인 신상이 주변에 드러남	みばれ
顔バレ	얼굴이나 정체가 드러남	かおばれ
ネタバレ	내용의 핵심 전개를 미리 알려버림	ねたばれ
匂わせ	직접 말하지 않고 눈치채게 흘리는 행동	におわせ
検索避け	검색에 걸리지 않게 표기를 바꿈	けんさくよけ
ポチる	온라인에서 버튼을 눌러 주문하다	ぽちる
爆買い	한꺼번에 많이 사다	ばくがい
大人買い	여러 개나 전권을 한꺼번에 사다	おとながい
箱買い	한 박스 단위로 통째로 사다	はこがい
コスパ	가격 대비 성능이나 만족도	こすぱ
タイパ	시간 대비 효율이나 만족도	たいぱ
コスパいい	가격 대비 만족도가 좋다	こすぱいい
コスパ悪い	가격 대비 만족도가 나쁘다	こすぱわるい
タイパいい	시간 대비 효율이 좋다	たいぱいい
サブスク	정기 구독 서비스	さぶすく
ポイ活	포인트를 모아 활용하는 활동	ぽいかつ
キャッシュレス	현금 없이 결제하는 방식	きゃっしゅれす
映え	사진발, 보기 좋은 연출	ばえ
盛れる	사진이 실제보다 잘 나오다	もれる
盛れてる	사진이 잘 나왔다	もれてる
盛れない	사진이 잘 안 나온다	もれない
自撮り	셀카, 자기 사진 촬영	じどり
他撮り	다른 사람이 찍어 준 사진	たどり
無加工	사진 보정이나 필터를 하지 않음	むかこう
垢抜ける	촌스러움이 빠지고 세련돼지다	あかぬける
垢抜け	세련되게 변한 느낌	あかぬけ
高見え	실제 가격보다 비싸 보임	たかみえ
プチプラ	가격이 저렴한 제품	ぷちぷら
デパコス	백화점 브랜드 화장품	でぱこす
ドラコス	드럭스토어에서 살 수 있는 화장품	どらこす
ビジュ	외모나 비주얼	びじゅ
ビジュいい	외모나 비주얼이 좋다	びじゅいい
イケボ	매력적인 남성 목소리	いけぼ
すっぴん	화장하지 않은 맨얼굴	すっぴん
ぼっち	혼자 있는 사람, 혼자인 상태	ぼっち
ソロ活	혼자서 여가나 활동을 즐김	そろかつ
コミュ障	사람과 대화하거나 어울리는 데 서툰 사람	こみゅしょう
陰キャ	내향적이고 조용한 타입을 낮춰 이르는 말	いんきゃ
陽キャ	활발하고 사교적인 타입	ようきゃ
リア充	현실의 인간관계나 생활이 충실한 사람	りあじゅう
タメ	동갑, 또는 반말로 대하는 관계	ため
タメ口	친구에게 쓰는 반말투	ためぐち
距離感	사람 사이의 심리적 거리감	きょりかん
距離近い	사람 사이의 거리가 가깝다, 친근하게 들이댄다	きょりちかい
距離置く	거리를 두다	きょりおく
絡みに行く	먼저 말을 걸거나 어울리러 가다	からみにいく
いじられる	장난스럽게 놀림받다	いじられる
気まず	어색하다, 민망하다	きまず
ぼっち飯	혼자 먹는 식사	ぼっちめし
脈あり	상대도 호감이 있을 가능성이 큼	みゃくあり
脈なし	상대에게 연애 감정이 없을 가능성이 큼	みゃくなし
告る	고백하다	こくる
告られる	고백받다	こくられる
元カレ	전 남자친구	もとかれ
元カノ	전 여자친구	もとかの
寝落ち	자기도 모르게 잠들어 버림	ねおち
二度寝	한번 깼다가 다시 잠듦	にどね
朝活	아침 시간을 활용해 활동함	あさかつ
宅飲み	집에서 술을 마심	たくのみ
家飲み	집에서 술을 마심	いえのみ
昼飲み	낮부터 술을 마심	ひるのみ
サシ飲み	둘이서만 술을 마심	さしのみ
オールする	밤새 놀거나 깨어 있다	おーるする
ドタキャン	약속 직전에 취소함	どたきゃん
リスケ	일정 재조정	りすけ
バックレる	연락 없이 빠지거나 도망치다	ばっくれる
サボり	농땡이, 빼먹기	さぼり
シフト入る	근무 일정이 잡히다	しふとはいる
シフト入れる	근무 일정을 넣다	しふといれる
シフト被る	근무 시간이 겹치다	しふとかぶる
バイト先	아르바이트하는 곳	ばいとさき
フル単	신청한 학점을 전부 취득함	ふるたん
落単	학점을 따지 못함	らくたん
単位落とす	학점을 따지 못하다	たんいおとす
単位取る	학점을 따다	たんいとる
履修登録	수강 신청	りしゅうとうろく
就活	취업 준비 활동	しゅうかつ
ガクチカ	학생 시절 힘쓴 활동을 묻는 취업 항목	がくちか
お祈りメール	채용 불합격 통지 메일	おいのりめーる
社畜	회사에 지나치게 매여 사는 직장인을 자조적으로 이르는 말	しゃちく
定時ダッシュ	정시 퇴근 시간에 바로 퇴근함	ていじだっしゅ
ワンオペ	한 사람이 여러 일을 혼자 맡는 상태	わんおぺ
やばい	위험하다, 큰일이다, 엄청나다, 대박이다	やばい
しんどい	힘들다, 벅차다, 지치다	しんどい
しんど	아 힘들다, 벅차다	しんど
気まずい	어색하다, 민망하다	きまずい
界隈	특정 취미나 관심사를 공유하는 사람들, 그쪽 판	かいわい
逆に	반대로, 오히려	ぎゃくに
ぶっちゃけ	솔직히 말해서, 까놓고 말해서	ぶっちゃけ
めちゃ	엄청, 매우	めちゃ
めっちゃ	엄청, 매우	めっちゃ
すげー	대단하다, 엄청나다의 거친 구어형	すげー
ありえん	말도 안 돼, 있을 수 없어	ありえん
ありえない	말도 안 된다, 있을 수 없다	ありえない
クソ	젠장, 형편없는 것, 또는 엄청의 거친 강조	くそ
ほぼほぼ	거의, 거의 대부분	ほぼほぼ
解釈一致	내가 생각한 이미지나 해석과 정확히 맞음	かいしゃくいっち
解釈違い	내가 생각한 이미지나 해석과 다름	かいしゃくちがい
解像度高い	묘사나 이해가 구체적이고 정확하다	かいぞうどたかい
解像度低い	묘사나 이해가 막연하고 부정확하다	かいぞうどひくい
蛙化	호감이 있던 상대에게 갑자기 정이 떨어지는 현상	かえるか
塩対応	차갑고 무뚝뚝한 대응	しおたいおう
ドヤる	잘난 척하며 뽐내다	どやる
ドヤ顔	뿌듯하게 잘난 척하는 표정	どやがお
イキる	허세 부리다, 잘난 척하다	いきる
イキってる	허세 부리고 있다, 잘난 척하고 있다	いきってる
黒歴史	떠올리기 부끄러운 과거	くろれきし
中二病	허세 섞인 과장된 세계관이나 태도를 보이는 상태	ちゅうにびょう
こじらせる	감정이나 성향이 꼬여 복잡해지다	こじらせる
地雷系	특정 어둡고 귀여운 패션 계열, 또는 그 이미지	じらいけい
地雷踏む	상대가 싫어하거나 민감한 포인트를 건드리다	じらいふむ
フッ軽	부르면 잘 나오고 행동이 빠른 사람이나 성향	ふっかる
グダる	진행이 늘어지고 흐지부지되다	ぐだる
ミスる	실수하다	みする
ミスった	실수했다	みすった
パクる	훔치다, 베끼다	ぱくる
バレバレ	너무 티 나서 다 들킨 상태	ばればれ
ディスる	깔보다, 헐뜯다, 디스하다	でぃする
マウント	상대보다 우위임을 과시하는 태도	まうんと
マウント取る	상대보다 우위임을 과시하다	まうんととる
話盛る	이야기를 과장하다	はなしもる
盛りすぎ	너무 과장함, 너무 보정함	もりすぎ
コンビニ飯	편의점에서 산 것으로 때우는 식사	こんびにめし
ネカフェ	인터넷 카페, 만화 카페	ねかふぇ
デリバリー	배달 서비스, 음식 배달	でりばりー
カフェ巡り	여러 카페를 찾아다니는 활동	かふぇめぐり
せんべろ	천 엔 안팎으로 싸게 술을 즐기는 것	せんべろ
はしご酒	술집을 여러 곳 옮겨 다니며 마시는 것	はしござけ
ズボラ	칠칠맞고 귀찮은 일을 잘 미루는 성향	ずぼら
胡麻をする	아첨하다, 비위를 맞추다	ごまをする
